,TF_0,TF_1,TF_2,TF_3,TF_4,TF_5,TF_6,TF_7,TF_8,TF_9,TF_10,TF_11,TF_12,TF_13,TF_14,TF_15,TF_16,TF_17,TF_18,TF_19,TF_20,TF_21,TF_22,TF_23,TF_24,TF_25,TF_26,TF_27,TF_28,TF_29,TF_30,TF_31,TF_32,TF_33,TF_34,TF_35,TF_36,TF_37,TF_38,TF_39,TF_40,TF_41,TF_42,TF_43,TF_44,TF_45,TF_46,TF_47,TF_48,TF_49,TF_50,TF_51,TF_52,TF_53,TF_54,TF_55,TF_56,TF_57,TF_58,TF_59,TF_60,TF_61,TF_62,TF_63,TF_64,TF_65,TF_66,TF_67,TF_68,TF_69,TF_70,TF_71,TF_72,TF_73,TF_74,TF_75,TF_76,TF_77,TF_78,TF_79,TF_80,TF_81,TF_82,TF_83,TF_84,TF_85,TF_86,TF_87,TF_88,TF_89,TF_90,TF_91,TF_92,TF_93,TF_94,TF_95,TF_96,TF_97,TF_98,TF_99
Gene_100,0.011397592723369598,0.01908481866121292,0.021140236407518387,0.024267688393592834,0.029652390629053116,0.013173351064324379,0.023173708468675613,0.016380351036787033,0.017004305496811867,0.019931085407733917,0.017166035249829292,0.016169337555766106,0.018872175365686417,0.017260313034057617,0.023128487169742584,0.01550061535090208,0.01581411063671112,0.015002274885773659,0.018493762239813805,0.030266642570495605,0.01729872077703476,0.0169578455388546,0.01892024651169777,0.016446560621261597,0.017904769629240036,0.01690543070435524,0.024128392338752747,0.022905707359313965,0.016733145341277122,0.02597258985042572,0.021001439541578293,0.018872462213039398,0.018323589116334915,0.01964995637536049,0.02304471656680107,0.023922886699438095,0.023031648248434067,0.020690834149718285,0.013694693334400654,0.018589342013001442,0.021216560155153275,0.022549474611878395,0.018831782042980194,0.019373761489987373,0.02757718414068222,0.04486245661973953,0.02489893138408661,0.01992115005850792,0.015812836587429047,0.014824198558926582,0.019589930772781372,0.023568589240312576,0.019996602088212967,0.019568689167499542,0.06907671689987183,0.021117324009537697,0.018673591315746307,0.02436123788356781,0.012101812288165092,0.017906196415424347,0.024643341079354286,0.014220047742128372,0.025176450610160828,0.028429728001356125,0.021581901237368584,0.017681695520877838,0.015840042382478714,0.022574983537197113,0.016028162091970444,0.028577962890267372,0.014701765030622482,0.026632899418473244,0.018789540976285934,0.0170455202460289,0.028003506362438202,0.019777417182922363,0.02400047332048416,0.017514485865831375,0.01671040989458561,0.020612865686416626,0.047998882830142975,0.02167869359254837,0.01664792373776436,0.0281282439827919,0.018300101161003113,0.015930820256471634,0.016503222286701202,0.019335033372044563,0.01937076821923256,0.03453577309846878,0.023583833128213882,0.019906863570213318,0.01741938665509224,0.036627188324928284,0.0159421656280756,0.01796451024711132,0.02072242647409439,0.017115794122219086,0.028253864496946335,0.013640789315104485
Gene_101,0.02479880303144455,0.018937747925519943,0.030568907037377357,0.022353244945406914,0.019222652539610863,0.017519168555736542,0.01496711652725935,0.015771381556987762,0.014413047581911087,0.020522799342870712,0.0194876566529274,0.018532272428274155,0.02557162195444107,0.023037753999233246,0.02260781265795231,0.021760769188404083,0.022347139194607735,0.016550742089748383,0.013883202336728573,0.015578794293105602,0.017580723389983177,0.01839839667081833,0.07755206525325775,0.022206736728549004,0.01536709163337946,0.01940595731139183,0.01723501831293106,0.02047457918524742,0.015328258275985718,0.01424802653491497,0.020120419561862946,0.017570609226822853,0.015757780522108078,0.024202119559049606,0.0127201396971941,0.017688937485218048,0.019410882145166397,0.020619504153728485,0.022290978580713272,0.013532279059290886,0.02124454453587532,0.011791082099080086,0.017234936356544495,0.02503926306962967,0.014720940962433815,0.018865207210183144,0.01455763727426529,0.012952921912074089,0.015544949099421501,0.01949278637766838,0.02060248702764511,0.01897400990128517,0.019109979271888733,0.023209212347865105,0.020059797912836075,0.016872264444828033,0.02825901284813881,0.03001604601740837,0.015347572043538094,0.01875430718064308,0.01806814596056938,0.017180971801280975,0.015152545645833015,0.013320151716470718,0.014800209552049637,0.015935923904180527,0.017998239025473595,0.02142580784857273,0.013703664764761925,0.021195698529481888,0.01540643535554409,0.019811274483799934,0.01739278808236122,0.017822176218032837,0.02175990305840969,0.01878795213997364,0.013303296640515327,0.01844651997089386,0.01819049008190632,0.02672816440463066,0.01753964275121689,0.014762736856937408,0.019032377749681473,0.021418919786810875,0.01496556680649519,0.017312701791524887,0.01914861798286438,0.0208791084587574,0.015556439757347107,0.022345762699842453,0.030365169048309326,0.01721547730267048,0.02017292007803917,0.012499293312430382,0.061681993305683136,0.0170043483376503,0.014759695157408714,0.020121963694691658,0.018281612545251846,0.02785530313849449
Gene_102,0.021649442613124847,0.014467700384557247,0.018111716955900192,0.03836240619421005,0.016121970489621162,0.01804887130856514,0.016661249101161957,0.02833789773285389,0.013647923246026039,0.019921425729990005,0.021864887326955795,0.01422661542892456,0.016519591212272644,0.026768159121274948,0.021388068795204163,0.026368631049990654,0.016894327476620674,0.028089769184589386,0.01769232377409935,0.017518967390060425,0.029671266674995422,0.020363492891192436,0.015956176444888115,0.01469174399971962,0.02260596863925457,0.013385615311563015,0.06668093800544739,0.021728916093707085,0.019015172496438026,0.013622190803289413,0.04974149912595749,0.018439695239067078,0.023852646350860596,0.012550871819257736,0.017996031790971756,0.020958438515663147,0.01161155104637146,0.021406296640634537,0.018957938998937607,0.016920344904065132,0.013532329350709915,0.015216747298836708,0.0165797658264637,0.019918648526072502,0.01430116593837738,0.020857790485024452,0.01512797549366951,0.013033967465162277,0.02035151794552803,0.016255682334303856,0.016141537576913834,0.011537285521626472,0.01818476989865303,0.012340722605586052,0.02528468333184719,0.01609419658780098,0.020062051713466644,0.017002344131469727,0.014862747862935066,0.02167341485619545,0.022122804075479507,0.0183611698448658,0.01424042135477066,0.013912472873926163,0.015289230272173882,0.016678713262081146,0.019414037466049194,0.018852297216653824,0.018299616873264313,0.015935495495796204,0.018008921295404434,0.020419970154762268,0.014302805066108704,0.024871166795492172,0.032870762050151825,0.010885529220104218,0.019612478092312813,0.019384559243917465,0.015997910872101784,0.013466930948197842,0.019256241619586945,0.01414504088461399,0.023965900763869286,0.02684171311557293,0.019219590350985527,0.01274004764854908,0.011929148808121681,0.019607258960604668,0.019687112420797348,0.020525755360722542,0.01793837547302246,0.015602504834532738,0.01502777636051178,0.007954936474561691,0.014679891057312489,0.016549736261367798,0.01347967330366373,0.014379623346030712,0.013445215299725533,0.0114132734015584
Gene_103,0.018312770873308182,0.01993183046579361,0.02324296534061432,0.0245808158069849,0.019314449280500412,0.025777149945497513,0.019382957369089127,0.021206531673669815,0.015689916908740997,0.020057443529367447,0.024332884699106216,0.027627408504486084,0.018466901034116745,0.02413186803460121,0.018695402890443802,0.018417594954371452,0.030676022171974182,0.02168857865035534,0.018483728170394897,0.019966445863246918,0.019781483337283134,0.016550522297620773,0.02169732004404068,0.027377044782042503,0.025554988533258438,0.020680680871009827,0.023999886587262154,0.02079199068248272,0.013667212799191475,0.021498586982488632,0.01915360987186432,0.024695388972759247,0.0297035351395607,0.019502736628055573,0.020187877118587494,0.024362929165363312,0.021095486357808113,0.018024124205112457,0.01940491423010826,0.02218351513147354,0.029267795383930206,0.023462830111384392,0.01650526002049446,0.02765345759689808,0.018740208819508553,0.018256064504384995,0.016038652509450912,0.014751872979104519,0.01844771020114422,0.027083178982138634,0.02641497179865837,0.015945948660373688,0.07792171835899353,0.014185871928930283,0.027257096022367477,0.029923580586910248,0.01800920069217682,0.03222844749689102,0.026297293603420258,0.023375365883111954,0.02289973944425583,0.01910189539194107,0.016400938853621483,0.019356202334165573,0.02616603672504425,0.01993536949157715,0.017441492527723312,0.03372195363044739,0.018187671899795532,0.02609468623995781,0.030086059123277664,0.02041129395365715,0.018349647521972656,0.015222912654280663,0.018520310521125793,0.05201317369937897,0.025633610785007477,0.020458193495869637,0.0246494859457016,0.01688157021999359,0.019272277131676674,0.023514460772275925,0.014684049412608147,0.02004200592637062,0.02048535831272602,0.021295977756381035,0.018452059477567673,0.01657298393547535,0.020664755254983902,0.02479398623108864,0.01636485382914543,0.02226882055401802,0.018699241802096367,0.018339700996875763,0.024429183453321457,0.022361354902386665,0.019102277234196663,0.02388269267976284,0.021450242027640343,0.01944136619567871
Gene_104,0.020352955907583237,0.021794404834508896,0.02347503788769245,0.017315562814474106,0.016391482204198837,0.016617944464087486,0.024070780724287033,0.015400063246488571,0.014088708907365799,0.011500630527734756,0.04403860121965408,0.013648396357893944,0.01580720581114292,0.011125963181257248,0.013142114505171776,0.019076842814683914,0.016109135001897812,0.021022431552410126,0.022004172205924988,0.015320457518100739,0.012320667505264282,0.023153701797127724,0.022990858182311058,0.02192830666899681,0.014821309596300125,0.01958354003727436,0.021699175238609314,0.021919377148151398,0.011946363374590874,0.03072354383766651,0.011549312621355057,0.017816349864006042,0.018181733787059784,0.017139198258519173,0.021944887936115265,0.021159015595912933,0.021380869671702385,0.01853436976671219,0.012961248867213726,0.027584582567214966,0.022309184074401855,0.01772778108716011,0.021705500781536102,0.012125853449106216,0.024119412526488304,0.029404086992144585,0.019643977284431458,0.022892877459526062,0.01801680400967598,0.015269613824784756,0.022806832566857338,0.01737961731851101,0.01585475727915764,0.016337890177965164,0.01403801329433918,0.015355749987065792,0.018696237355470657,0.0257701575756073,0.043517403304576874,0.025458386167883873,0.016573842614889145,0.013862079940736294,0.016980141401290894,0.020249120891094208,0.01820853352546692,0.018155770376324654,0.014710528776049614,0.018264874815940857,0.015110643580555916,0.01902186870574951,0.02094968408346176,0.022797932848334312,0.03531146049499512,0.013613240793347359,0.018448881804943085,0.01433287002146244,0.00885798130184412,0.016361020505428314,0.019280970096588135,0.011512769386172295,0.012456550262868404,0.023367583751678467,0.017010323703289032,0.03371207416057587,0.013318749144673347,0.04699648544192314,0.022616049274802208,0.01918856054544449,0.012516021728515625,0.017869548872113228,0.018427981063723564,0.019329765811562538,0.015996702015399933,0.015622995793819427,0.016601838171482086,0.021207015961408615,0.01787465065717697,0.01089133694767952,0.014373932033777237,0.021013425663113594
Gene_105,0.01608968712389469,0.01956843212246895,0.01827998086810112,0.017527703195810318,0.0211062990128994,0.02152169868350029,0.016464795917272568,0.019626377150416374,0.025393687188625336,0.020631248131394386,0.015591401606798172,0.020138442516326904,0.022198548540472984,0.029220513999462128,0.02216135710477829,0.01594601571559906,0.019527629017829895,0.023003937676548958,0.0337626114487648,0.015570558607578278,0.023023951798677444,0.01778683252632618,0.01867980882525444,0.020872274413704872,0.022188909351825714,0.019894808530807495,0.011745225638151169,0.022618677467107773,0.01989380083978176,0.01645737513899803,0.014615178108215332,0.01963772065937519,0.01490066573023796,0.026918981224298477,0.016381898894906044,0.019029509276151657,0.03389547020196915,0.024197278544306755,0.02048167586326599,0.025224722921848297,0.018124831840395927,0.02107786014676094,0.02024376206099987,0.021984176710247993,0.018946319818496704,0.0187212061136961,0.018212512135505676,0.010629033669829369,0.020703889429569244,0.019153732806444168,0.017325546592473984,0.017928481101989746,0.020495668053627014,0.026502341032028198,0.017817379906773567,0.014852809719741344,0.027440611273050308,0.017776068300008774,0.022490009665489197,0.018680140376091003,0.018416665494441986,0.024440210312604904,0.024126071482896805,0.05330014228820801,0.014921428635716438,0.023445971310138702,0.02056310325860977,0.02404307946562767,0.01320301927626133,0.015196599997580051,0.01588054746389389,0.04165364056825638,0.022145800292491913,0.02678065001964569,0.023470740765333176,0.016646068543195724,0.01851901039481163,0.016858737915754318,0.022509992122650146,0.023720022290945053,0.025730352848768234,0.02193196304142475,0.023506995290517807,0.022492412477731705,0.01583472080528736,0.017687205225229263,0.017706600949168205,0.053433775901794434,0.02075275219976902,0.021293703466653824,0.023106370121240616,0.020524805411696434,0.023439303040504456,0.016073308885097504,0.021527979522943497,0.020325101912021637,0.021565530449151993,0.018833119422197342,0.021635476499795914,0.01975787989795208
Gene_106,0.018141688778996468,0.01603483408689499,0.017620710656046867,0.017859742045402527,0.01407982874661684,0.02178509719669819,0.019064785912632942,0.01619536615908146,0.06848083436489105,0.016950659453868866,0.013333262875676155,0.03393365442752838,0.019158970564603806,0.01818576455116272,0.024955907836556435,0.029465384781360626,0.01385524868965149,0.021315503865480423,0.01726245880126953,0.016387799754738808,0.023620907217264175,0.019315555691719055,0.021135952323675156,0.0176100954413414,0.01511089876294136,0.0139990895986557,0.020217452198266983,0.03635837882757187,0.02243085950613022,0.03393542766571045,0.022079363465309143,0.028197452425956726,0.019668614491820335,0.019051533192396164,0.013386535458266735,0.02504359930753708,0.020397713407874107,0.02282433584332466,0.01800381764769554,0.01803286373615265,0.02341753989458084,0.018021870404481888,0.014641780406236649,0.022586550563573837,0.015844635665416718,0.02206438034772873,0.016189027577638626,0.023052530363202095,0.013387419283390045,0.03921937942504883,0.020540330559015274,0.016353094950318336,0.01699857786297798,0.019722960889339447,0.01695602387189865,0.013876602053642273,0.020950231701135635,0.012933727353811264,0.02196624130010605,0.028211060911417007,0.028734762221574783,0.017823128029704094,0.02207808941602707,0.019116077572107315,0.033085450530052185,0.021871499717235565,0.012895891442894936,0.026806894689798355,0.01705005392432213,0.01872379705309868,0.016980770975351334,0.024904783815145493,0.01728113926947117,0.015959469601511955,0.022892963141202927,0.016195662319660187,0.022463034838438034,0.01776278391480446,0.015246957540512085,0.020374970510601997,0.02000182680785656,0.015545500442385674,0.029685625806450844,0.035024404525756836,0.04352009296417236,0.018980354070663452,0.020818036049604416,0.01954324170947075,0.0321110375225544,0.024713817983865738,0.012297378852963448,0.020425571128726006,0.027429239824414253,0.019699247553944588,0.017955010756850243,0.01982683688402176,0.013292854651808739,0.02169789746403694,0.018337326124310493,0.022499611601233482
Gene_107,0.019752416759729385,0.01954229548573494,0.015976818278431892,0.017900897189974785,0.021710403263568878,0.016285162419080734,0.021512456238269806,0.015818879008293152,0.014877056702971458,0.02055206149816513,0.019714703783392906,0.016510147601366043,0.015369681641459465,0.015429429709911346,0.015564627945423126,0.012936483137309551,0.03579804301261902,0.013769865036010742,0.01970408856868744,0.01444716565310955,0.017994605004787445,0.016529150307178497,0.01967749558389187,0.02261527255177498,0.01866607367992401,0.016969885677099228,0.020211447030305862,0.0162128284573555,0.019375968724489212,0.0215702373534441,0.016405420377850533,0.01674383319914341,0.014466123655438423,0.020246177911758423,0.017734523862600327,0.0161843653768301,0.014727463014423847,0.023062758147716522,0.01772717759013176,0.037145208567380905,0.06451275944709778,0.016781382262706757,0.01260077953338623,0.014590911567211151,0.0259812343865633,0.020657232031226158,0.02157239429652691,0.018180910497903824,0.01382517535239458,0.028743652626872063,0.01633835956454277,0.01757670007646084,0.02183234691619873,0.021993210539221764,0.015234755352139473,0.01912499964237213,0.01844267174601555,0.01772463321685791,0.04513562470674515,0.01633598655462265,0.01641400158405304,0.014089580625295639,0.016088468953967094,0.01923898607492447,0.04498618096113205,0.014400934800505638,0.03654957935214043,0.022270165383815765,0.013800711371004581,0.020480211824178696,0.01740102283656597,0.020787246525287628,0.01837136782705784,0.021638866513967514,0.014115151017904282,0.025564733892679214,0.014667980372905731,0.02315066196024418,0.015910066664218903,0.015316206961870193,0.011926719918847084,0.02206059917807579,0.01895609125494957,0.021208874881267548,0.02004079334437847,0.01791973039507866,0.023124244064092636,0.028568971902132034,0.013144168071448803,0.015542665496468544,0.023803092539310455,0.011321177706122398,0.018236417323350906,0.02420089766383171,0.01764490082859993,0.01689288578927517,0.01696687750518322,0.020135272294282913,0.015111692249774933,0.02675098367035389
Gene_108,0.017851106822490692,0.033843401819467545,0.023682542145252228,0.017388539388775826,0.020546328276395798,0.01936431974172592,0.018130645155906677,0.015402097254991531,0.01933129131793976,0.014143917709589005,0.0163803081959486,0.014752582646906376,0.019149214029312134,0.017869655042886734,0.018072117120027542,0.013571981340646744,0.019093293696641922,0.024527907371520996,0.031066153198480606,0.01795850321650505,0.0200883187353611,0.024938400834798813,0.01857948675751686,0.012566548772156239,0.019374754279851913,0.018381677567958832,0.01880769245326519,0.016729937866330147,0.014745909720659256,0.02356475032866001,0.028782851994037628,0.019147252663969994,0.016414392739534378,0.02131028100848198,0.01659296825528145,0.02262789011001587,0.009734885767102242,0.020090924575924873,0.014047201722860336,0.017274456098675728,0.017704233527183533,0.02401261031627655,0.017909400165081024,0.02099521830677986,0.030417639762163162,0.015586567111313343,0.014020375907421112,0.02202242985367775,0.0200448390096426,0.015006592497229576,0.01816352643072605,0.0159499142318964,0.01445627398788929,0.015382767654955387,0.028185535222291946,0.01419755443930626,0.01718180812895298,0.015808412805199623,0.015291105024516582,0.03271504491567612,0.01731698587536812,0.013666422106325626,0.015560416504740715,0.024037327617406845,0.02216975763440132,0.02164970338344574,0.020534012466669083,0.018858935683965683,0.020004231482744217,0.02055438607931137,0.014214892871677876,0.015661966055631638,0.017339205369353294,0.014966245740652084,0.015810711309313774,0.028888143599033356,0.010082012973725796,0.017372891306877136,0.02113073319196701,0.033714935183525085,0.02067052200436592,0.018281586468219757,0.01911366730928421,0.01916225254535675,0.01704072207212448,0.05166037380695343,0.017522957175970078,0.020821260288357735,0.017861882224678993,0.018585186451673508,0.02487357333302498,0.02368542179465294,0.015568280592560768,0.019523900002241135,0.012656722217798233,0.018466567620635033,0.01973455771803856,0.04547703266143799,0.01481151394546032,0.013350656256079674
Gene_109,0.024909406900405884,0.021291770040988922,0.012463738210499287,0.01917138695716858,0.021837610751390457,0.018035568296909332,0.013603493571281433,0.01378948986530304,0.025865592062473297,0.01741788536310196,0.013519045896828175,0.013391529209911823,0.029926925897598267,0.020102398470044136,0.01572445034980774,0.028538446873426437,0.018211394548416138,0.022134818136692047,0.0263005830347538,0.014417329803109169,0.01636691763997078,0.021230068057775497,0.02168470062315464,0.013739947229623795,0.014718152582645416,0.015887493267655373,0.020659182220697403,0.015727782621979713,0.022902648895978928,0.014071963727474213,0.015007151290774345,0.021372560411691666,0.0406186617910862,0.025751415640115738,0.018068509176373482,0.014028295874595642,0.0155482804402709,0.018300283700227737,0.018121205270290375,0.01643293909728527,0.019901035353541374,0.019879907369613647,0.0182914137840271,0.014277294278144836,0.023698240518569946,0.01863587275147438,0.017689749598503113,0.017526380717754364,0.016108529642224312,0.018156196922063828,0.01740529015660286,0.023322369903326035,0.018094025552272797,0.026197034865617752,0.018330199643969536,0.014600086957216263,0.017567185685038567,0.019776813685894012,0.021543404087424278,0.014004785567522049,0.02506760135293007,0.02073148638010025,0.017808910459280014,0.021740494295954704,0.009984270669519901,0.023632803931832314,0.017993252724409103,0.01431312970817089,0.01489344984292984,0.07155559957027435,0.019958380609750748,0.023247621953487396,0.020852848887443542,0.016281617805361748,0.020203934982419014,0.017412744462490082,0.015208090655505657,0.01970611698925495,0.04801623150706291,0.014529211446642876,0.019939851015806198,0.01624908857047558,0.023310385644435883,0.016137059777975082,0.01510299276560545,0.019899882376194,0.01756882667541504,0.018637701869010925,0.02170541137456894,0.012921648100018501,0.01662461645901203,0.01360839419066906,0.014912651851773262,0.013515826314687729,0.010247457772493362,0.019824683666229248,0.011340871453285217,0.01604161411523819,0.010969096794724464,0.021671976894140244
