,TF_0,TF_1,TF_2,TF_3,TF_4,TF_5,TF_6,TF_7,TF_8,TF_9,TF_10,TF_11,TF_12,TF_13,TF_14,TF_15,TF_16,TF_17,TF_18,TF_19,TF_20,TF_21,TF_22,TF_23,TF_24,TF_25,TF_26,TF_27,TF_28,TF_29,TF_30,TF_31,TF_32,TF_33,TF_34,TF_35,TF_36,TF_37,TF_38,TF_39,TF_40,TF_41,TF_42,TF_43,TF_44,TF_45,TF_46,TF_47,TF_48,TF_49,TF_50,TF_51,TF_52,TF_53,TF_54,TF_55,TF_56,TF_57,TF_58,TF_59,TF_60,TF_61,TF_62,TF_63,TF_64,TF_65,TF_66,TF_67,TF_68,TF_69,TF_70,TF_71,TF_72,TF_73,TF_74,TF_75,TF_76,TF_77,TF_78,TF_79,TF_80,TF_81,TF_82,TF_83,TF_84,TF_85,TF_86,TF_87,TF_88,TF_89,TF_90,TF_91,TF_92,TF_93,TF_94,TF_95,TF_96,TF_97,TF_98,TF_99
Gene_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6711243237075655,0.01051973714590666,0.0,0.06492450079523657,0.47238230594101693,0.022428064597981197,0.0,0.0,0.0,0.026912573281003067,0.0,0.0,0.005101838632996199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006315557869756248,0.0,0.0,0.0,0.0,0.016633410825224113,0.0,0.0,0.0,0.0,0.020105808146246094,0.0,0.08934907524287886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05633982534865786,0.25886963348840547,0.0,0.0,0.012206081219358768,0.0,0.0,0.0,0.16927792006187095,0.13028289029097906,0.0,0.0,0.014646469077041268,0.0,0.0,0.0,0.09007262463548862,0.29377743809349605,0.0,0.04425102195851212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07292883179221285,0.0,0.0,0.0,0.0,0.0,0.0,0.19367767984688442,0.0,0.0,0.0,0.010923664378709539,0.0,0.0
Gene_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854271837101096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08425683622307083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3347809371765708,0.0,0.0,0.0,0.0,0.0,0.7573319223537112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231135462264354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002746306047614056,0.0
Gene_102,0.0,0.0,0.0,0.0,0.07196673376157042,0.2669177567000833,0.0,0.0,0.0,0.02083696035456075,0.0,0.0,0.0,0.0,0.0179050134874767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07386012311589248,0.6778841827629926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006957780066688458,0.17410950510154982,0.0,0.08270018083179562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06329767572793232,0.0,0.0,0.0,0.17378161833260958,0.0,0.0,0.0,0.0,0.0,0.19475269108060644,0.13789545350663338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138204229526343,0.2080621900538053,0.0,0.0,0.0,0.0,0.0,0.1054830282529438,0.0,0.0,0.0,0.0,0.0,0.001319322184108725,0.0,0.0,0.0,0.0,0.0,0.0
Gene_103,0.0,0.0,0.0,0.0,0.0,0.0,0.16674776296325,0.011702683316478788,0.0,0.0,0.1317289921061099,0.11230104916805281,0.03715827986890937,0.0,0.0,0.14210630616689987,0.12819063753422574,0.07377878427920065,0.0,0.0,0.0,0.38350345427290505,0.0,0.0,0.0,0.018759948519790032,0.0,0.4831476309717148,0.0,0.16725475046114963,0.06078978384806838,0.016437017797187446,0.0,0.09218588051891667,0.0,0.0,0.24909872254882795,0.03192231111897281,0.17742769844635148,0.03983804806161768,0.0,0.10928838678279314,0.0,0.0,0.0,0.0,0.0,0.2506367680452944,0.0,0.0,0.0,0.0,0.0,0.26710885938151646,0.0,0.0,0.5912357253736095,0.3262742767959292,0.0,0.0,0.18306443642842166,0.10748918310271591,0.1181425083583051,0.0,0.03907747648421011,0.0,0.0,0.01704428698540244,0.0,0.27419807544956626,0.0,0.0,0.2968283916303149,0.0,0.0,0.04534719984887779,1.0370386257716249,0.2111293725623136,0.0,0.3729631142113323,0.0,0.3705723732911632,0.0,0.11289023439625248,0.03842875814800567,0.0,0.2898529148231956,0.0,0.0,0.0,0.0,0.10724093264762696,0.0518880758782294,0.34444069891029616,0.4198976086987695,0.0,0.0,0.0,0.0,0.8259167709814456
Gene_104,0.07746699581075107,0.0,0.0,0.0,0.004700353533816396,0.0,0.0,0.0,0.0,0.0,0.0,0.10573974994932361,0.0,0.005589394919517334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3027681335431256,0.0,0.022037843096720754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08723479212714222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7092032768342444,0.0,0.0,0.0,0.0,0.18646427012389552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09224959863258825,0.0,0.05428505640279403,0.5557517204568211,0.0,0.17502908249657884,0.0,0.0,0.0,0.0,0.0,0.02682986930430404,0.0,0.0,0.0,0.0,0.0,0.13912396494965915,0.0,0.2256505242204414,0.0,0.0,0.05154391893017857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03686150502929033,0.0,0.0,0.07681536162087367,0.22385704322182218,0.0
Gene_105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10446498047151968,0.0,0.0,0.0,0.017602978968169262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011803413655690775,0.0,0.0,0.0,0.0,0.08481629838128336,0.04640795121926339,0.0,0.0,0.0,0.0,0.01893680723564177,0.02056147481490239,0.0,0.0,0.04782001073641732,0.0,0.0,0.17352454685875648,0.0,0.39103378928729937,0.0,0.0,0.0,0.0,0.0,0.023025763583070753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13251435876597395,0.0,0.0,0.18143165443116385,0.0,0.4462462638948113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10978686025667023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12871469945567252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene_106,0.0,0.5351683786495527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015693059739002722,0.0,0.0,0.0,0.022066685174335656,0.0,0.03535361931224892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022708777614266228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09346736974750132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050138351123855075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321274710122455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene_107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4749857483867063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2310319773065194,0.0,0.0,0.0,0.38142297179102896,0.10192237000890536,0.0,0.0027998881790856343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04097227410917507,0.0,0.0026853730648504557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03316526384535605,0.020562946434116523,0.0,0.0,0.0,0.0,0.07203239369044687,0.0,0.046171983686566755,0.0,0.0,0.03978896978408189,0.0,0.4899270410824211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030400278238535687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5603481047089861
Gene_108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010800540259073267,0.0,0.4158148836421811,0.0,0.0,0.0,0.0,0.0,0.5767245814926296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06389054801102163,0.022674865602856822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3341421133309657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene_109,0.0,0.08781278222056844,0.0,0.18949580595074897,0.0,0.0,0.0,0.0,0.0,0.14152098536453842,0.0,0.0,0.13084079762723844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07312085366655591,0.06487996598932225,0.0,0.0,0.0,0.0,0.16503759880509497,0.0,0.0,0.02716538686460892,0.0,0.050913369690405164,0.0810183686723366,0.0,0.0,0.0,0.0,0.17710094881825733,0.0,0.0,0.0,0.0,0.0,0.3413952682477432,0.0,0.12055764477810227,0.0,0.0,0.0,0.0,0.0,0.31710311246674955,0.0,0.0,0.0,0.0,0.16532244376471472,0.14632912763682693,0.0,0.0,0.0,0.050431642466170545,0.0,0.0,0.053860370410986305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
