,TF_0,TF_1,TF_2,TF_3,TF_4,TF_5,TF_6,TF_7,TF_8,TF_9,TF_10,TF_11,TF_12,TF_13,TF_14,TF_15,TF_16,TF_17,TF_18,TF_19,TF_20,TF_21,TF_22,TF_23,TF_24,TF_25,TF_26,TF_27,TF_28,TF_29,TF_30,TF_31,TF_32,TF_33,TF_34,TF_35,TF_36,TF_37,TF_38,TF_39,TF_40,TF_41,TF_42,TF_43,TF_44,TF_45,TF_46,TF_47,TF_48,TF_49,TF_50,TF_51,TF_52,TF_53,TF_54,TF_55,TF_56,TF_57,TF_58,TF_59,TF_60,TF_61,TF_62,TF_63,TF_64,TF_65,TF_66,TF_67,TF_68,TF_69,TF_70,TF_71,TF_72,TF_73,TF_74,TF_75,TF_76,TF_77,TF_78,TF_79,TF_80,TF_81,TF_82,TF_83,TF_84,TF_85,TF_86,TF_87,TF_88,TF_89,TF_90,TF_91,TF_92,TF_93,TF_94,TF_95,TF_96,TF_97,TF_98,TF_99
Gene_100,0.007620095013410971,0.01317318784130448,0.0431017645219216,0.007864892191432679,0.00421188005005929,0.010218532540662253,0.011873918628117404,0.004670900465635372,0.009006076974395372,0.011243833532491355,0.14114396337786234,0.013334423735207612,0.00413270180421386,0.0040927229219165405,0.06558086473816663,0.005899106814460814,0.0009224859560312827,0.0019360246716128386,0.014325989749432303,0.0030830884312658567,0.0037389192225958457,0.0009334657618642558,0.01769043890505751,0.005398286444547745,0.006843580784339349,0.008790718655586508,0.005165853250022179,0.0030169115131535966,0.007388397236346692,0.009154237682165754,0.015358523253380548,0.0036843479079889116,0.01124626514976259,0.0064997210399110675,0.0075413685339168895,0.021073867775850335,0.01045652223854113,0.00561927168427898,0.0031278792793730456,0.006572955388804715,0.0015373393739077262,0.001230465141443428,0.005394375490350355,0.011539432039688909,0.011441945163577246,0.0010842692521686472,0.006151814745802508,0.010739527022270668,0.00107252390462692,0.01514483833201507,0.0038095617948293585,0.003323751728493928,0.004325076863099325,0.0017826182774511785,0.004135552079652329,0.003619605526562553,0.003987123502215223,0.012295611833583388,0.014835298700728009,0.08791538685880712,0.009196430383845124,0.002081092990140704,0.01916832854823082,0.005048235571186284,0.006417421933908246,0.006860903071591389,0.0022169871125785894,0.0028169293133423986,0.0029638502395473902,0.009032961979618923,0.00535623042969363,0.0034586000536791276,0.005226520416791239,0.0038813625541892333,0.022994682663615644,0.025923710922761082,0.012109961270064142,0.008637104267625087,0.00950401573686484,0.002496771545087486,0.0054637646581206616,0.0040337234482540315,0.006119733746630277,0.0044256378923560455,0.003942609516384651,0.0018006215372712334,0.017043873327831156,0.0009659572800670338,0.005487968415850725,0.002725167525210538,0.0007753696739685331,0.0008562052614713461,0.005299069483281468,0.012751457928701984,0.0024161439189903187,0.003233366530746893,0.003341004418488938,0.005214540398400025,0.00034225942646416593,0.006265321308786029
Gene_101,0.0032236515393796327,0.007543393034107011,0.009709455334827716,0.000732489787997277,0.008970642583811243,0.0015997675924822629,0.036369528132427914,0.006459132193463137,0.004699721555846071,0.006018755268592595,0.004129496527921321,0.004413252219377272,0.03991094299820819,0.004024405853074751,0.0008648070801018979,0.0009498431684179091,0.0016966512192703018,0.006792104204517655,0.001220630879351446,0.006036008815995131,0.006142068653964985,0.022209785094353257,0.025843413233470957,0.014892476427330398,0.007626609644672838,0.00400509000926561,0.01306600665142855,0.016136097352896273,0.005287820597920945,0.004385921261499875,0.0023610077758252955,0.003405920338940312,0.0037856867316786763,0.0002516728955449665,0.004819000886174546,0.014275735724663783,0.003094566454843815,0.00437360182033185,0.01235339307476121,0.0031541596115577312,0.0025480826560977136,0.006661076897038522,0.020631430817517175,0.002255919665912281,0.020544469078131105,0.0003014621356811733,0.008478876363580839,0.0029043680570185774,0.004002458621543367,0.005826445306638387,0.01751038836596698,0.002173056283190278,0.006258832944134119,0.011653990137095574,0.009710464521311312,0.029322255129498865,0.005799856000095369,0.003070626874717522,0.007187723167752067,0.015508567178234898,0.005731714919008258,0.009090034885311994,0.010814208322866588,0.0005609536297941366,0.0035340934375733607,0.0015811512506132294,0.005369874963676207,0.012770818326493755,0.007768708440768329,0.0005587475973477012,0.002424465080481471,0.0016613670276357212,0.000523849063248687,0.24989078737348272,0.0053901728450765655,0.0017327679534312633,0.004498148409542087,0.004338664074485593,0.008526168751152622,0.006261179156206784,0.0036254901722527853,0.006243972661053611,0.004120513846534366,0.014419434519524384,0.0037351033239794978,0.020813416049214634,0.0034377149188348716,0.021625667466416885,0.003395392449042155,0.011216174441579779,0.0024244516997325907,0.0016476242963123844,0.011501198754772957,0.012344541735870343,0.0005765999476700039,0.006485639571873668,0.007451726115241718,0.0018114312794889787,0.009766999703648525,0.001143967107306218
Gene_102,0.0016810563802578742,0.0020234622820242566,0.003101527375429615,0.0034090403080215465,0.004031992529135852,0.010514589334457784,0.005549018009995758,0.003702208507948924,0.0010798463913014905,0.008715928374978638,0.0012497915702667686,0.006535305384050902,0.013423407971919243,0.003319781262096664,0.001035976794870341,0.003825690764007181,0.0036504883354357203,0.004512875628125614,0.0023357763331106353,0.0034110925045053244,0.0008854345940226037,0.0015245958972889854,0.0019476827425353443,0.0022049028324128803,0.4365481142156103,0.0092017791925602,0.004180869578554517,0.006114352407405955,0.0011795923830238391,0.0009022308104235792,0.0009368479198406057,0.0028870374098909817,0.004947260041833898,0.0030949935277768794,0.009314037678206195,0.002998583779433775,0.0035093034796151363,0.0043739122008354565,0.02137110654479875,0.017666002083366286,0.0075367756281621325,0.004587019845932002,0.011210932994362105,0.0030689465430018604,0.0014037160174005412,0.0043591500589504366,0.002414201597177712,0.005621217679154513,0.0016051459551288184,0.003946566816612468,0.004294439171188026,0.002849739430333233,0.001335082571688443,0.005345913540538522,0.002876820132049358,0.0032207010067597168,0.07666377981595933,0.021280138490975743,0.0026303442185576864,0.0022060736104187327,0.0020345241704927564,0.005251684501303837,0.0031304255386838753,0.006050899821954917,0.009295239316603343,0.0032386351969573997,0.0008626430093455295,0.0011790629586644538,0.0022184611153987805,0.005689726469692387,0.01404120197254652,0.001386873076612028,0.010043053715203958,0.005721250965459907,0.004515823339882073,0.014298852269776896,0.0037841214770461306,0.0013767540942743741,0.0009608525275133709,0.004411963493077207,0.0067780486753474855,0.034197000824156644,0.0043024896443817195,0.005972813020213229,0.004488339484435239,0.00229070108081943,0.001665377582789173,0.005703224572125909,0.002504316900793502,0.0029873012488393653,0.0022720736709088527,0.0020972443085696514,0.002034401406024129,0.011767674790082784,0.0026389215110326795,0.0049540022736191585,0.001609191553307825,0.0037248217875616493,0.003635355734236977,0.0035304504145370484
Gene_103,0.0008014545491105314,0.0023545208749525966,0.002609534281646009,0.012511338360284648,0.0013461862042120779,0.023118054284794562,0.018220524109359888,0.0032903123725045134,0.0017072458053489844,0.00480403295976908,0.005886475960209748,0.0042960887029958065,0.002631888298862154,0.022157410547624868,0.002496030129787459,0.018763845171597793,0.0035231614909060722,0.006583847628608827,0.007705292635223494,0.003977544768639637,0.0034037291764858735,0.012064676226384677,0.0021632378153882484,0.025779014836421005,0.0089738311263726,0.00367929083902349,0.002263555668324588,0.005678587128507811,0.0018449310796080534,0.0018788865457327357,0.003946632234688855,0.004729462032555913,0.0015660341131320634,0.00021031899124637844,0.002023306918049002,0.0016593086696731396,0.004729472111786766,0.010557212693292815,0.0033653303467463458,0.002307313073068122,0.015801764303076664,0.0019254190067716562,0.004821560303332706,0.0028972296672935527,0.008453157582201014,0.0015835097174587275,0.008067305822217362,0.006915953025894396,0.008223752031777576,0.004042130850428246,0.0047420598344130385,0.0030271037051487586,0.008364744532761289,0.002660205684285554,0.004803347665474917,0.0033426068477561315,0.006939039488418102,0.001824196935374102,0.014849281935381384,0.009467467155925358,0.0018596060134630846,0.002546959828746129,0.007931590134466822,0.005543715562720733,0.003005960486827922,0.0006054974460589424,0.001729500352942344,0.0031208106347801593,0.025899434380483824,0.01966001975080675,0.0829771079029298,0.012672816525420898,0.004446865706734635,0.0043720233046003944,0.009081035454564295,0.0036344882628133496,0.14670547417396468,0.0009143182389985446,0.0036699558327787586,0.0032299153392060078,0.01018296111165727,0.0008801952732169102,0.003155872698720728,0.0013534839647500693,0.0049392967034648455,0.008557127187795756,0.0056376841888036745,0.006262058380776926,0.015911671510111972,0.0036559599490059917,0.01020688376214356,0.004071272390863891,0.004358150218122181,0.0010850025280328892,0.004537331223028693,0.001608934993583928,0.005439316848651818,0.006599809140358312,0.0047478879140925995,0.17884124782119212
Gene_104,0.004252736270956237,0.006968761741356595,0.009728685018047576,0.008947814441230538,0.005764942066296731,0.02366144349825678,0.0027424658130270085,0.010004050047566708,0.004153717117069938,0.0032232694280906827,0.0009454248434276965,0.010343377471876436,0.005426532665495538,0.008031034885886728,0.00201457208251646,0.01910959036417207,0.0019619637596762465,0.004752548655788939,0.011953385359660937,0.0042961921734755975,0.0011553844818697947,0.0009529092954479973,0.003136690647166919,0.0055908786507359275,0.003622758488971752,0.023673144648456833,0.0034644337676051884,0.016186857504074992,0.04596614457233879,0.0044409670853868604,0.004602446342258884,0.0032361574625464603,0.002367177129483094,0.0020041332119216733,0.00601615354078052,0.0015028093481308312,0.006654283625557423,0.002233766941943542,0.007548011802309232,0.0037625853540320126,0.009192479753282521,0.019032291004517973,0.0016454772042397852,0.010321285883529163,0.0015815758622095418,0.002908084018190206,0.010603177397105465,0.005408589067491187,0.005167215372386512,0.23478054937121118,0.0014821156206103814,0.008653502818647322,0.0008867168774075779,0.006211163344685519,0.015989666305359026,0.0014843170253879575,0.015569289113256246,0.002434970239967659,0.00576803672341184,0.0005946616019232459,0.0052799909195743525,0.012491264667848471,0.003021803654283419,0.023074391318350648,0.0014269198936661127,0.006994771965023872,0.043854695329548665,0.007613213086136843,0.035162424721789404,0.00538509244536643,0.0008985644432671536,0.0008967236145791833,0.005167235445351473,0.0023713354764872798,0.0027835562546527108,0.0018500654608465306,0.004639049535497527,0.006692762098577856,0.0007040107920088301,0.008025345740924186,0.024097050386753437,0.004356292801843638,0.005097751479935364,0.005817145669132563,0.0032047317555752076,0.010916845837672062,0.004240762614627777,0.012468227974201038,0.0014684773829555272,0.014073454212863396,0.0021388416013995728,0.002912725441458236,0.002058379469850079,0.00258062483257581,0.004673032931721849,0.0016366019507209199,0.00794961783137235,0.0031015803420872223,0.05096104184967318,0.0017982305600853163
Gene_105,0.007028055778358315,0.0011454686353212472,0.018130332980515546,0.012590699985447205,0.007439010785299597,0.0008430777451040477,0.008165397410767748,0.01721800424579046,0.023643713480106594,0.013468664440099145,0.0022550370651310083,0.002866217124221079,0.015818142912855732,0.0032607601814496324,0.004442331505671368,0.002780325714291292,0.005704583665828202,0.031014944896275244,0.008099509065880306,0.00825337205589383,0.005074672384717905,0.011151780525605328,0.0037688099349361807,0.015463248411395243,0.015058460003492785,0.006025342170478048,0.04178288435501062,0.005814038437126785,0.026654749136119007,0.002417122111548808,0.02074204256324228,0.0014752482040376214,0.012107371250171963,0.006765863661089969,0.0009864400372067439,0.024059698634845608,0.0063730724073836195,0.005274255847176438,0.0012144209463302769,0.004865670372753479,0.022846140739653815,0.17872352251265092,0.007062583033311541,0.008730164385737125,0.0022210264813035865,0.002188997020218002,0.007368481534916713,0.0026237905447513126,0.005932310958597893,0.005344508692450959,0.0009376434276829998,0.0022330431578414527,0.0035735683728624805,0.0018982710590144845,0.0037535576577053856,0.001389266924557515,0.012394580890077717,0.010520575028372415,0.0070907173575701695,0.020241338744844455,0.01032168950422,0.0312384672595999,0.003133102693225604,0.015775122837850347,0.005170433489228894,0.019597768053437103,0.004864210120392775,0.007802914791669634,0.02881574807261605,0.0046994030641697914,0.0054489312540959055,0.002068872467379359,0.0010967227344417596,0.005397158758737643,0.004644502432499495,0.005374585690703533,0.0030840008968461073,0.0034600718031445256,0.02982913737803416,0.0007500410887496045,0.0009899715863737775,0.0032649972095190045,0.004367417346503747,0.001024130362419579,0.010865411730734385,0.005585365718789267,0.006597795628068584,0.004615197958767123,0.0017532716454093232,0.006023339019835175,0.009909210890158096,0.0029128203860213195,0.006319480023938378,0.0036366949067181643,0.0001933165521534067,0.0021203806443948043,0.0049901951100315796,0.006427881701792392,0.0032854270252821475,0.004227880568950084
Gene_106,0.0069597796223591114,0.24751128046841053,0.0012570247794343578,0.00325291107636666,0.005444007885648289,0.0010514014291068984,0.001192058321256389,0.011072071773219354,0.0015340344666269184,0.003142227916519429,0.006710521988187713,0.01106573719015422,0.002228778103868016,0.0036172036826407216,0.005441865636004073,0.018184552449794576,0.006828427104847144,0.008655862333876354,0.012919844411534076,0.0010736101136649577,0.002073630680356302,0.004307330229187858,0.0051719589964112035,0.0022022904989250293,0.005634127986718183,0.0060480128159084556,0.011667117135521057,0.000824155276092449,0.002062659542242527,0.0004872334237763192,0.00855028147580332,0.0021112230250130122,0.0007258221221075429,0.042732321740628416,0.011552945041942882,0.001883823335447835,0.001863414799658482,0.006740915974768642,0.006427602487656534,0.0012308776309893283,0.0018372431445957947,0.0028652141118003537,0.030025274211374985,0.0021568150850558277,0.006300483842229067,0.009079671838202474,0.0013061229918961614,0.00054322131637085,0.004186430705575836,0.0019089819829012499,0.0019826453913985033,0.0018524960459932124,0.007112756378340967,0.005757612946538065,0.008545751585144085,0.010723294272599484,0.03475917555105233,0.0025650071458511053,0.0014371759256974262,0.0006831602510316273,0.006655981444400213,0.00928142056505448,0.0018090295873931408,0.02049640836576673,0.004715463511945495,0.0035830288392541044,0.003167106644083018,0.004505104100115825,0.001253533402326988,0.0008441163265063502,0.0016894176619856125,0.0010477523988835788,0.005408136688922154,0.007505444443975031,0.0010926052024692074,0.0011858930410110866,0.00236353116705087,0.003395274538179052,0.005082107475414135,0.002869513630703145,0.168309159421573,0.00199058228748595,0.0011721424641538694,0.03497743901997732,0.00698858716217823,0.004575204916629059,0.005624257769091499,0.017045940459330482,0.002982378028746291,0.011437047231524165,0.002172161786565072,0.011525389300386369,0.004039330607873504,0.005849505052810736,0.0030421666403432994,0.003034270881511352,0.002822664433716742,0.0014101003214785856,0.0015573524549331724,0.0024239710279265222
Gene_107,0.005152402640978077,0.0014068397718064321,0.005562516460642978,0.009714609141304013,0.0036289333036415364,0.006815413532121,0.004942370116698322,0.011596255463723183,0.0023256117203719834,0.001345892744555642,0.0019025944163800581,0.011303122376989605,0.0723403922750061,0.028276188647636733,0.00073252005586185,0.0011992388065097496,0.008391587833775315,0.002765352883872853,0.01627149208095654,0.0043864735461001765,0.0008176451229403509,0.010308599742961453,0.005223173320408805,0.003492407844016527,0.004501010691982742,0.021647168399796326,0.009309902191249771,0.013584933457114121,0.009344557513943962,0.0013367093660517143,0.0027884504584449613,0.004124254789444982,0.009989487741439972,0.0068828508184138526,0.00419470366650314,0.013451843328071339,0.0042899454411024,0.01338902662356006,0.00633788158730017,0.018625990721968997,0.016459378666606864,0.011244876138000558,0.0015285241384752823,0.0028292909172281154,0.00954210273864442,0.0031878354914531364,0.0017610276149502358,0.00714681579284369,0.00260642327584026,0.007649539837782895,0.01023981018788869,0.0008784501596804106,0.00642110593302275,0.008173779844979455,0.002479114436052413,0.0060744842249656015,0.03280933016381987,0.004418706854334227,0.010726273747561237,0.0007827109514303318,0.001554158578113539,0.002509752400968817,0.011754413176971667,0.0059472814023718975,0.004060584376001085,0.0017148342389951554,0.00849911365272295,0.006413499926145338,0.00545551671182923,0.0432908779946809,0.018122012397846488,0.0037197971609401275,0.008614342898398122,0.005409457662192927,0.004975406200352577,0.0041795963212833565,0.00806475389147565,0.0019525847061624424,0.0191960081287917,0.004618132225734163,0.012554020020297487,0.020746461435757715,0.0029793810201851436,0.024555660544130026,0.006442693522603141,0.0010602112196114917,0.014508276954161367,0.0026006465983279396,0.010928081652551755,0.007727968412580882,0.01096385788623104,0.006148793020586452,0.0045374551570034,0.0037302835097795407,0.008453755148108666,0.0009383502068540311,0.08951680941351017,0.006746832791609928,0.004607611131996299,0.07954079454092726
Gene_108,0.002529930835537674,0.002122429349058009,0.011912235652328821,0.001425609054348568,0.0068452094748356705,0.0019429556477615526,0.004708464238998221,0.0027875233597369187,0.007050559763404616,0.0009753756763333206,0.01694898458195426,0.0015458135729577614,0.06976313044345563,0.009661612109521253,0.0012599881721003193,0.003584660346684005,0.0014775594993519745,0.007544683382604817,0.15858963416607177,0.0032053514428785684,0.002026050308569887,0.010185390308821894,0.003703402755217919,0.0029819805893693697,0.004296773018437159,0.004743222420401458,0.008049996813367108,0.0005481342896951209,0.002302101142908043,0.004726810997675723,3.119108771830257e-05,0.00299258716610671,0.0052948823533266465,0.002037769794211504,0.003414166215720917,0.0006675084879962602,0.025212187536627084,0.014966406121167153,0.0029473202143881507,0.007610936129323042,0.004147022843040738,0.010435893846807731,0.005449540700281915,0.005593017341749952,0.0006715922953781394,0.0050960964860814004,0.0020617922829047008,0.0038105213612513013,0.0013962471485425027,0.0034364842620294212,0.0028273631749187143,0.0025961613949248234,0.16013258665057517,0.006362490336214068,0.0035624099985257242,0.0010070978258688184,0.0027603461511953196,0.0004850415186949968,0.0007011129199285671,0.004406539378351029,0.008737178248463005,0.005279739363799535,0.004057649549729663,0.00041529649609041067,0.00694658981229359,0.013200622498189998,0.007466045392838461,0.009415184072266283,0.0023009817628164906,0.005256444133310698,0.0035873168788507228,0.009498538208759968,0.0020861796118903913,0.007755821126082651,0.0025917264578287167,0.0012368019580046542,0.002209479132860196,0.0078123132386807926,0.009864362255101723,0.003752314961300146,0.004788064974819835,0.0017210817654188051,0.0014932336637263743,0.008755053802817199,0.009252833819603597,0.002402840790174826,0.0128266240928842,0.0022329624108341074,0.005822795381513878,0.007743058140299835,0.05502645282211573,0.0012791992391985325,0.007428332595284642,0.011150132966129704,0.002660822057254369,0.004496190582536346,0.00824286465147359,0.006691108876645792,0.07171002020646083,0.009245855563411471
Gene_109,0.003321943757362459,0.008655125435271395,0.009962710008259913,0.006030778464578186,0.0037242490915120477,0.002256211486993472,0.006661442898907162,0.0012915654023408511,0.0011993609681697744,0.013674565912583207,0.0015147477237828155,0.0021310631248368335,0.039944487726983495,0.0011322156739864099,0.002307544537508264,0.0036267305211619225,0.03467013161451798,0.004542630964405439,0.0011338964773438755,0.0027662413088711804,0.002090689227246595,0.004508754478779065,0.009141111504142955,0.0018522278940598144,0.005555564793612896,0.0047011317231745765,0.008955396631124825,0.0019505023569993123,0.0057516009265337325,0.006441736502784998,0.0016534940544438695,0.0033671016820024055,0.03259053330523524,0.022220173903472785,0.002827120571408418,0.03528582509747475,0.004658834572495664,0.0021859732023018805,0.004929731025870464,0.0047250970074088254,0.003765357892266678,0.00391987262812116,0.0016014058458987417,0.01081713802149934,0.013728381409048395,0.005584363550932967,0.00706880568108715,0.004321089358789246,0.024531373603007913,0.0052565400068345465,0.02469952985573041,0.0014669218903705762,0.00854765754848463,0.010808056916965318,0.003484811337277306,0.007151527659232469,0.002039070824215371,0.010648967663783277,0.05854359325464258,0.0005555386192170699,0.009611338370055001,0.18771341027860147,0.005729112919658422,0.0029961110511413044,0.0038284956422946453,0.002179447785636542,0.0006407757511264495,0.004206282293717151,0.0009319638439776898,0.01100456845007459,0.0018388647593379573,0.0026337531518236842,0.0005489772497242938,0.013525428908005744,0.010940947480462928,0.09352644513018077,0.001653586084481509,0.001914392546788933,0.007765392160357415,0.0052697888428779645,0.0011342063186316593,0.0025787600529589864,0.02259003905064348,0.003045851794125863,0.009214545191347664,0.000539437059208311,0.005525146460187613,0.0058557011021290635,0.0003263591951751298,0.0013840290602452098,0.0015540357807151295,0.003657465408080656,0.005406634239248616,0.004432387134722959,0.011738089366259039,0.010681429767441488,0.0016646488339716935,0.0010929798622727918,0.008299830197320654,0.006339094297634694
