,TF_0,TF_1,TF_2,TF_3,TF_4,TF_5,TF_6,TF_7,TF_8,TF_9,TF_10,TF_11,TF_12,TF_13,TF_14,TF_15,TF_16,TF_17,TF_18,TF_19,TF_20,TF_21,TF_22,TF_23,TF_24,TF_25,TF_26,TF_27,TF_28,TF_29,TF_30,TF_31,TF_32,TF_33,TF_34,TF_35,TF_36,TF_37,TF_38,TF_39,TF_40,TF_41,TF_42,TF_43,TF_44,TF_45,TF_46,TF_47,TF_48,TF_49,TF_50,TF_51,TF_52,TF_53,TF_54,TF_55,TF_56,TF_57,TF_58,TF_59,TF_60,TF_61,TF_62,TF_63,TF_64,TF_65,TF_66,TF_67,TF_68,TF_69,TF_70,TF_71,TF_72,TF_73,TF_74,TF_75,TF_76,TF_77,TF_78,TF_79,TF_80,TF_81,TF_82,TF_83,TF_84,TF_85,TF_86,TF_87,TF_88,TF_89,TF_90,TF_91,TF_92,TF_93,TF_94,TF_95,TF_96,TF_97,TF_98,TF_99
Gene_100,0.035635478161119595,0.04066318220879053,0.03141859296687603,0.02410511677431724,0.03461190410994826,0.04127950795433872,0.04064853916504374,0.33935398467797223,0.030156846753801134,0.03272627155190759,0.03837852217960098,0.028288966174646848,0.031751711366190816,0.03583686205004031,0.03269479365094045,0.02891390440450292,0.0353974156988566,0.14617834413014394,0.03327144934571905,0.023249065612993804,0.04346025701775938,0.20050368036017785,0.04158776999344442,0.09411192064275929,0.027638101022363387,0.03294806564767716,0.03640609781957088,0.03627059522530449,0.06541196649396117,0.040243820443541085,0.07334622600068731,0.041524627510080264,0.024664251953374638,0.09174213317916295,0.051000333265773336,0.02770734212503506,0.049147377136080354,0.04626914031023723,0.23780698713063375,0.032754424519657786,0.054405544635543236,0.03739072760890418,0.021033912228190565,0.03403954936070422,0.03348566973172228,0.046693785159847324,0.038545254839245514,0.042608285845531606,0.033236337701949746,0.0442357110173944,0.047227286107197196,0.21072266064204728,0.029289744292469066,0.04044692244683632,0.03692298810462052,0.07512882745232333,0.032468215670280326,0.03335284232725737,0.04519075076016627,0.03442576023101685,0.0253796430738107,0.038618541382619186,0.04121225416777046,0.03202005471679227,0.03811167336479386,0.037736672408659216,0.0359885492014905,0.019289410143264744,0.02950011274983499,0.03701381001892807,0.16182131969912153,0.04906637565585161,0.02739880627803141,0.03328279568119109,0.029844439113898807,0.09396849652177319,0.03699082655692668,0.03649877960717681,0.041164257162114394,0.03978691969417385,0.025611769051084022,0.03519499555204308,0.16241369296564953,0.03012206852454023,0.3018372732292168,0.038255095229446215,0.02776569544754588,0.04577827151759595,0.07597293713980029,0.06472755231399414,0.046493776726297224,0.050878619930399195,0.04474959983886611,0.038481669387338185,0.034626619722303846,0.030192551792762774,0.03905760759768085,0.03422186840936347,0.025147171421233475,0.0729851268479885
Gene_101,0.038271680777642876,0.18813853392206434,0.027131001237762718,0.03973522666309119,0.0334806858482214,0.035868422252174126,0.030638191105810435,0.044887304739308714,0.02647955551267582,0.03116131196166551,0.057828646445061915,0.02829136799195618,0.04451714553825455,0.0934152526678678,0.032197524489958836,0.032465784494738976,0.03496792906784762,0.025960149362514704,0.028422956410310632,0.031840161867792864,0.02600006013675948,0.1997171343819311,0.02053658271088187,0.04129300786163565,0.14022865746231108,0.029036870889583222,0.02835949598710601,0.047256031225756834,0.03893685072887061,0.038813974767962264,0.18848116718781974,0.04639992988092584,0.02905084594136415,0.043971277037529684,0.033984054289683714,0.024346568120855113,0.042302075575917565,0.03611123580153298,0.03244428824640019,0.026972209977730963,0.044532852365272324,0.03502536013574623,0.035659059442391026,0.043167595461813146,0.03224774722108645,0.09316188035864821,0.03069512218395228,0.021577385041327127,0.02759269526188762,0.06777525323375204,0.02126138642583753,0.3826402020540049,0.037188996197732305,0.030109655144591314,0.03882550125361175,0.12574076233927575,0.03952407861674239,0.04616605540541982,0.2298981091136134,0.021281392941168153,0.038627134887702086,0.03151216969488232,0.03185242061492998,0.02681625278835358,0.028559419064037635,0.027724786745607966,0.03140369299061603,0.03202218907236308,0.023082354094140514,0.038658746759125735,0.020681494056157514,0.040478182156173,0.028539168546747633,0.3171338812184128,0.026903689435623573,0.029562646679266003,0.03280161516560679,0.0333807181449372,0.03748856177339207,0.02259887624743157,0.05898846598477028,0.030861923727494592,0.17649650062152797,0.026715363319426717,0.023825041430339606,0.02822241272295189,0.02288003701175434,0.04275633349161784,0.02513724813913648,0.02150136484318919,0.030190672553323885,0.030018201329703773,0.03655045125362685,0.02214344404996667,0.02521192871562512,0.07478909136874017,0.03291517580691369,0.023164132642844556,0.02662341221492628,0.1192032355564715
Gene_102,0.03732042257614781,0.028273557205562058,0.5011986540055732,0.02735009460832522,0.05961035548240972,0.05490294039128165,0.030268735176225747,0.08692823183584193,0.04243927649463885,0.035269675242883526,0.08126173827474875,0.0314082194940241,0.032362344762683536,0.03318050073612414,0.03805926175848747,0.03214639637619396,0.026474591025950883,0.030461720237568084,0.02851877213947938,0.13685607987986953,0.043557923303438655,0.04056701869249924,0.028376637847584513,0.050226288389903194,0.17439437816382075,0.03127124946325774,0.033875698453836395,0.03889064431721749,0.038182120970212764,0.047621367978171326,0.0608799695601717,0.042303648126404046,0.08067577985528697,0.2060804929647493,0.03231411495378745,0.03502175754230771,0.05354569749144708,0.041621106354117705,0.05250834510538114,0.044421321280061245,0.03712895603974341,0.3456894501794776,0.030588584151577294,0.0326719458723816,0.03280405974005016,0.0260258180469623,0.03783626844205088,0.034302885153994114,0.05027254836707612,0.03412368455727153,0.02833830316860961,0.036676442939608936,0.03424453276223872,0.03602243927741502,0.030476227403394496,0.09543231703894489,0.036098683408916775,0.03839169481408067,0.035648335685325584,0.035222992295838106,0.0316794591865179,0.041830470595451856,0.033847531769020674,0.054235952917529244,0.039285572058685415,0.03027558964681068,0.03165367339070662,0.06551176361642212,0.03285062754753848,0.02802701513805987,0.022849154444682124,0.041029113946775865,0.034216855032149295,0.0593800879417676,0.02725632236098663,0.028522214000960864,0.04016884286200144,0.0799999212078527,0.03932317314888433,0.0401367784563688,0.049649894939155635,0.03325352514097756,0.03465483974569777,0.03750523330739194,0.038106251082688086,0.03885905253626975,0.038659081783359577,0.03936381652534524,0.02466001388791629,0.02681521810328899,0.027194970592069503,0.030710442951610295,0.03471341925325052,0.06328616299410261,0.03835460415735196,0.032885349575851826,0.030121824834851263,0.037234968886782877,0.0429287450198809,0.03570020432250409
Gene_103,0.04441485387888163,0.04627743226436171,0.025004228412206776,0.3353071533320371,0.025950727392989033,0.03933104329784694,0.03049052301145751,0.02809705474761252,0.031101839231599357,0.029220787753877712,0.031056190318316985,0.20284404881926124,0.04164398091629841,0.028539982444584635,0.03221943720738831,0.03135684977437687,0.07163963563574953,0.022972921129257588,0.059506159293685884,0.022502722913965104,0.02194572559137425,0.026603528576517585,0.03048772937610877,0.041893827317369105,0.026373531159887584,0.03169620270327598,0.028836027089822802,0.2931494175386609,0.030415949152956506,0.04089656380882334,0.03672084428916635,0.041765622732885636,0.033387944735843146,0.047079582226161855,0.02650521936289672,0.028257766575499776,0.025351057916413473,0.027040248987267812,0.031362230936486546,0.16090801146052716,0.02777836877962038,0.03678225766728052,0.04932555817567048,0.036025885128330846,0.04179867883215296,0.03126318078305379,0.02173663029402254,0.03702762215340213,0.029952822900418286,0.05137053862708088,0.03938031884223128,0.022567132129165664,0.0338693408951393,0.032934526368601315,0.03655336499431978,0.03351052960824289,0.042561631527869626,0.027977626976553576,0.029997928836894464,0.3081244887774805,0.2767761379189794,0.10771554479727415,0.028263469834250706,0.029645456480061755,0.04410349922365636,0.028579711217365283,0.027952448379363223,0.02949449621500888,0.041330819688747224,0.024433136840106586,0.028881543137417365,0.08284388761275847,0.03410505229636052,0.03136245208794735,0.032244704324147215,0.018183233030197653,0.0430847302129739,0.03582499540399082,0.02183310699311083,0.034045696685426265,0.11826244090379562,0.07673564477863208,0.029264404645898773,0.03828600025897722,0.03698950752806634,0.04213818628727445,0.11868772322168412,0.09071487235698938,0.019879617451991898,0.034686626129396964,0.02862529332228678,0.029606135339381886,0.025001318773852504,0.04800521999351029,0.05035310058955683,0.028868355851710745,0.03314950629870011,0.027935831601035712,0.03120511677544995,0.04045144865293864
Gene_104,0.026111874890457024,0.024576359209538514,0.0316724725219184,0.04503699270442915,0.02862840435293155,0.042069576735555426,0.11610129315959056,0.030139797416091144,0.03456946444971674,0.02844319120625596,0.04582150221880638,0.04555852660786547,0.02396612219960294,0.025836556424758503,0.031023353448454662,0.04094985237811051,0.03664720047180146,0.03958072157020793,0.07975069677134429,0.028743129326243014,0.03809934191134256,0.024985032582477196,0.03617242383785948,0.029694801123832604,0.04163086195573198,0.023219778680865024,0.03329632828710597,0.026296829257193007,0.024343557263669224,0.032966252471563075,0.0358723362039064,0.039284785296225484,0.07312010292973774,0.04807845880862741,0.0526720273702001,0.03155071266251535,0.0272234435785973,0.044211433651819954,0.035434882649974665,0.03588598287773046,0.039546823176517615,0.03112353944213546,0.027608837009149095,0.025632592922756926,0.046772132261306075,0.03242815953774358,0.04034393243242573,0.6737313549236399,0.028104478261545742,0.04878490017845163,0.032497163060926156,0.03323047816206239,0.02756898865597081,0.06280719741165194,0.031360390306455724,0.11735761255170037,0.02730016550422586,0.02720038784345617,0.03613430415456266,0.03311654128174719,0.02333684256223582,0.02409510736069057,0.02377778397619279,0.040114600134813154,0.15525129850500305,0.03290256187681724,0.02073339932751952,0.02392072825854101,0.03631072167466921,0.030362965784485645,0.032266261429642555,0.028639536496043363,0.041173935070987065,0.02138222108493809,0.030359395924592154,0.032131821791221545,0.11250717954224822,0.02799833758312475,0.05284982628254814,0.02724512589367499,0.028159046104403732,0.03152210644288122,0.03537700693777512,0.027323262343721826,0.04605893811104118,0.02947591390365192,0.03320584431195251,0.025252107682527083,0.03634523670351505,0.09355901673075427,0.031035052265010032,0.034838118955530954,0.028197085796072285,0.026356064283272803,0.0424421070553662,0.05817114876401086,0.03962246966927614,0.024363983253484083,0.03747753737402652,0.03175374440513693
Gene_105,0.2707414899334734,0.042834387870921475,0.02397035120557804,0.027987890210205913,0.034267269550396336,0.02312453428493687,0.035806506822345506,0.034757509133303444,0.10870085339106927,0.05458070987131869,0.036492490206456514,0.024854541888446987,0.04175460566918738,0.08269182389496439,0.035600854941091394,0.023370336264432596,0.0333536149019355,0.05170494029025752,0.03985446992252266,0.023161864581908775,0.038203328715086075,0.025565967246710893,0.029234744798203986,0.04982767246442462,0.04122434146913432,0.047235778554978826,0.03633569756204215,0.03264281668634172,0.030233935233699646,0.03801927360633377,0.0274764620411579,0.027716800209145288,0.033384226759069456,0.03205179716207469,0.09674053718987484,0.24193754311613166,0.026895213850184715,0.021535038523156108,0.035036351987516354,0.07959843180944041,0.046800315430924215,0.04447804862047405,0.02935608757685523,0.2045675968399586,0.03538719920894176,0.04598950511660222,0.05241527832425838,0.05041902447091982,0.026171207077748667,0.02977597973475687,0.09029609163937781,0.03487939633243572,0.03381336748544158,0.10564630139969834,0.0673214537065116,0.03613917385806904,0.041141058186295675,0.033037664700152326,0.19893292444321584,0.1335442565393893,0.04034613226700048,0.03145182057809435,0.03078852454632225,0.02307626146347659,0.029867292122976657,0.043352502622844846,0.06679238161720001,0.05817349707574566,0.04198309191117892,0.040793513067385934,0.03577124928196309,0.035487190200270066,0.16872957645282352,0.03602282772227281,0.01839277959075359,0.042592180973444284,0.04055781528957703,0.033205238259044985,0.02938592041873866,0.034944974699189495,0.020583243300040743,0.031761554076018446,0.03396838901616108,0.0295679896771846,0.032595663057822334,0.03048015105642625,0.028369501976954162,0.0339666558841147,0.03966447635370625,0.10663613411680616,0.04498911874959504,0.02783391331651877,0.02933265103686404,0.03318858674283907,0.1693811562277583,0.03474852650225709,0.03401443252121532,0.2590281692225561,0.08616750549279295,0.05055069128726374
Gene_106,0.040739635054075324,0.16874332673418344,0.027592434771882224,0.044724207902383906,0.029724681247821395,0.03591794672034736,0.03093253446511605,0.03433342566978892,0.034279040811628886,0.02813190024834343,0.029340988131393828,0.028542866583524364,0.035661688780959225,0.027779587115357985,0.12196787390747348,0.08869684443860137,0.029473252074087297,0.03428847359516957,0.03529838019804915,0.027613608791710518,0.06876675738001893,0.029832031221265338,0.028949852552828934,0.04577642072990603,0.020290902991716462,0.034666079733044954,0.044437519537408765,0.03805034143051599,0.03436359666293815,0.04255508755835486,0.04198587157578004,0.04335862226312311,0.039996616518109006,0.05670365855701103,0.07716735723414368,0.026502483749323322,0.03474980933875505,0.04828877662213238,0.0308249183382429,0.032324471841280476,0.03935042325132371,0.05525294184862136,0.030741450382167666,0.04025572013962759,0.027515072091226514,0.030560560431862477,0.3506610953895006,0.03475078172860115,0.12005864982550479,0.2695134819653272,0.03051249923154412,0.02415595992153761,0.03279568613232544,0.03870873478218091,0.04092821898920051,0.029613523891906166,0.11370594629480525,0.028566154581384024,0.026663302804607176,0.030634969374856963,0.034866596358821354,0.030124008882103526,0.0879295275392078,0.03785226395673184,0.02724161605584445,0.12159417024683272,0.02538494423176028,0.020641416259006024,0.035360125680692404,0.14891600267498614,0.038168822340570875,0.10516601499482954,0.035845890431499446,0.06369126463716526,0.036898120232410216,0.030966222251703857,0.03676487304004277,0.21029330493622456,0.02597730680091924,0.041699026478646324,0.025835466926489605,0.07509749338522333,0.029261873216257814,0.05594245258539147,0.02612745102764077,0.028409803052192012,0.038183951573281825,0.182813509624585,0.19998142194725563,0.06600702843736128,0.09766869104970087,0.02928776371879263,0.0550704069664239,0.028551501684839584,0.042741446333529276,0.03499958846995535,0.04025139393495388,0.024069886758123448,0.05026318407585792,0.029146048506570044
Gene_107,0.031983663299276564,0.07334595298318829,0.02663557752521793,0.08710817946760935,0.1646644981973042,0.061973195379068736,0.18435065264154807,0.027211106740989015,0.02170775589285867,0.06699817359656102,0.029574204960031433,0.02809998435413155,0.0402670410173777,0.029993983157190054,0.02952350730444087,0.0481368011923232,0.031068824994387206,0.0256473952381575,0.06810915602856037,0.13973495483012818,0.13577203965625792,0.049624671894846595,0.0398728312932641,0.08687157599183785,0.03611681171794723,0.030082763457117925,0.027244221181557515,0.02995377306410627,0.10112012617545464,0.04890761072155388,0.032599296031526816,0.03866963961771793,0.03120162016838923,0.03703362701062185,0.08055531605397717,0.03992559377254993,0.04897936329545787,0.026690597902595356,0.049328523466852216,0.04097491739008797,0.02830325898580909,0.026386981082250682,0.20288841528786697,0.027634588479638417,0.07693199510434995,0.029191500268916915,0.11886911734222834,0.021345684882647858,0.06797573671641137,0.04111620271580617,0.026153241634382807,0.03298925368421022,0.29188541010927077,0.030606959558127006,0.1696750541177967,0.17954763910085392,0.07611831900158454,0.03887344569712835,0.024008487921968812,0.03871138566347316,0.039665731422154724,0.04845200952594462,0.026771479260789845,0.04826941189005507,0.2577317029224179,0.0563859603257369,0.04479813938016952,0.05341263329826137,0.038783146887325086,0.03186378782545872,0.09822973964073883,0.03809952868227985,0.05432210999452677,0.045203914923754196,0.022368818499381632,0.03872226764452744,0.158112780263394,0.03840958953001965,0.03394944741999623,0.03174008303828158,0.042897322437909786,0.07221205613500482,0.026646025206070168,0.13669313117821635,0.11822828349130697,0.02744638245971712,0.01942777991869563,0.03208399281149236,0.1417155555200033,0.03638507556535472,0.034547921325508206,0.034171377438392575,0.04483472697906104,0.020570090103935342,0.03285957913586773,0.07351763427321852,0.08782189202359847,0.03230861193538669,0.05036044991932931,0.025931675994445572
Gene_108,0.0353382644953274,0.07454703915075633,0.03858471758383621,0.09717850487584319,0.029724280285296865,0.05433750866856321,0.07057758803181226,0.10091165097335741,0.02347462291116366,0.07349817550963098,0.03290817409479932,0.03237062633970389,0.04139250951865341,0.129716208640087,0.04133918387180076,0.06771116875510051,0.04689646693531849,0.04337719376419457,0.03396014914396486,0.03241822239018501,0.04217915649811658,0.10152278914484945,0.03660108282742333,0.04112006999052253,0.041090275529087755,0.1126251462670687,0.028589552467666094,0.033351327581634276,0.07536882835006838,0.04062064768492323,0.08496998497340869,0.05856681493743459,0.03365652196392571,0.03150257514638897,0.03705287261505896,0.03633282300727872,0.1350498245507552,0.04293995430369865,0.03233184024847786,0.04099590511867485,0.03980022705257801,0.05063107949380974,0.03352238786698521,0.04067177606722674,0.04093925716183943,0.054146555836101846,0.03732817078919028,0.02924446207755366,0.030773769763130385,0.04065138822724894,0.031069618277781957,0.12406978442125594,0.16669619143194356,0.03717881245197505,0.025294385720660423,0.035498401619059455,0.07521579161171456,0.16372288548096506,0.33265573001126875,0.04290675550570972,0.04226202405131279,0.035263053718098306,0.03325165027653635,0.22253087363697147,0.2974995509337311,0.031008451876418156,0.027680815786969973,0.030254644943880152,0.08538351901952117,0.0342268414958173,0.03557974676973227,0.049162039123624206,0.035616230546368206,0.024082330468704952,0.03559716431914472,0.04111412894992436,0.031187937553691165,0.034846607084518234,0.030997491550965952,0.0781131875461775,0.03727839286944575,0.036646382413460556,0.08767296370363158,0.19180819280250702,0.05056310694088251,0.03538608746258861,0.03126478419948798,0.07028285169390124,0.038342619679086455,0.18687644426292624,0.06044586486155831,0.035180818447671146,0.030294875107592812,0.044877989147313065,0.030451347955410976,0.03696241012652035,0.03948014129183333,0.029332950673370214,0.02961062758342514,0.04387437878445521
Gene_109,0.023691952796762717,0.027357260935454975,0.03693196835161051,0.5490536916930415,0.11099827207659807,0.025097805964039238,0.04183435458439203,0.03691771431282156,0.04159562560455761,0.03665857041980746,0.04053578913477989,0.04698827527305993,0.029425731509536784,0.03108481225515476,0.029351874068077818,0.020947825389451488,0.04096135664204315,0.027397396413724778,0.07355925027628822,0.023104106426323556,0.04575818717855488,0.032262222790317034,0.03430824566406545,0.02472973461409732,0.02877076014115663,0.11807564448929884,0.17182243204623995,0.029104220014783837,0.10240472576117664,0.03262099482738657,0.03276011983149029,0.06486556371114881,0.13905387213882453,0.02655036173223081,0.05229998032885395,0.03629284474156339,0.25119205291345953,0.13910187065611676,0.055328076523666475,0.031482196113915215,0.026551565572655936,0.03566090505109474,0.040944652995575724,0.03084267126432626,0.030906218673770917,0.02961239750349348,0.030837559484587093,0.03682729382807604,0.12634062043796804,0.05061483360238258,0.06860412206202661,0.0319516434432032,0.02927061897874418,0.02236068243155631,0.02311980680789108,0.0872271070959722,0.03234866836678326,0.02359071232113673,0.029590312015431507,0.12647610351826136,0.03633228822146393,0.028832201802908398,0.028723787793634117,0.0351166330345481,0.03620977516795947,0.02396374175454381,0.029630234710808584,0.025039612746947017,0.03144122918929787,0.03237307234800762,0.04428579846568301,0.03010517441058429,0.09571060420972595,0.03659313905919801,0.03415110260171541,0.03437102361489826,0.025624149828759945,0.022693899425214343,0.028814580301144834,0.03535102918607382,0.02686688350664618,0.02954370907924847,0.021229789929524994,0.027396780467394227,0.07129529644076417,0.03485383019137813,0.030867294382086727,0.03641670052658064,0.02886588103782697,0.046868338329639735,0.027704921007240053,0.020711241929174652,0.03646470162309254,0.04331702697937662,0.0227145671735709,0.030368310024980957,0.025450659863505292,0.021233811029797225,0.04004780065568775,0.03290855234469366
